ID,TYPE,NAME,STATUS,DESCRIPTION,EPIC
TASK,16,Покупки,NEW,молоко; кофе; яйца
TASK,2,Покупки,NEW,молоко; кофе; яйца
TASK,13,Переезд,NEW,cобрать коробки; упаковать кошку; сказать слова прощания
TASK,14,Покупки,NEW,молоко; кофе; яйца
TASK,15,Переезд,NEW,cобрать коробки; упаковать кошку; сказать слова прощания
EPIC,3,Java developer. Модуль #1,DONE,cпринт #2; cпринт #3
EPIC,6,Java developer. Модуль #1,IN_PROGRESS,cпринт #3
EPIC,8,Java developer. Модуль #1,DONE,cпринт #2; cпринт #3
EPIC,11,Java developer. Модуль #1,IN_PROGRESS,cпринт #3
SUBTASK,4,Спринт #1,DONE,пройти теорию; создать счетчик калорий,3
SUBTASK,5,Спринт #2,DONE,пройти теорию; автоматизировать бухгалтерию,3
SUBTASK,7,Спринт #3,IN_PROGRESS,пройти теорию; создать трекер задач,6
SUBTASK,9,Спринт #1,DONE,пройти теорию; создать счетчик калорий,8
SUBTASK,10,Спринт #2,DONE,пройти теорию; автоматизировать бухгалтерию,8

2,8,7,15
